"Nom du produit","URL du produit","Image du produit","Prix (CAD)","Évaluation (sur 5)","Nombre d'évaluations","Disponibilité"
"Ensemble Nintendo Switch 2 avec Mario Kart World","https://www.bestbuy.ca/fr-ca/produit/ensemble-nintendo-switch-2-avec-mario-kart-world/19296508","https://multimedia.bbycastatic.ca/multimedia/products/250x250/192/19296/19296508.jpg","699.99","4.07","46","Expédition disponible"
"Console de jeu tactile de 7 po ROG Xbox Ally d'ASUS - Blanc (Ryzen Z2 A d'AMD/RAM 16 Go/SSD 512 Go/Windows 11)","https://www.bestbuy.ca/fr-ca/produit/console-de-jeu-tactile-de-7-po-rog-xbox-ally-d-asus-blanc-ryzen-z2-a-d-amd-ram-16-go-ssd-512-go-windows-11/19438480","https://multimedia.bbycastatic.ca/multimedia/products/250x250/194/19438/19438480.jpg","800.59","5","1","Expédition disponible"
"Mafia: The Old Country (PS5)","https://www.bestbuy.ca/fr-ca/produit/mafia-the-old-country-ps5/19323643","https://multimedia.bbycastatic.ca/multimedia/products/250x250/193/19323/19323643.jpg","69.99","0","0","Expédition disponible"
"Super Mario Party Jamboree - Nintendo Switch 2 Edition + Jamboree TV (Switch 2)","https://www.bestbuy.ca/fr-ca/produit/super-mario-party-jamboree-nintendo-switch-2-edition-jamboree-tv-switch-2/19296476","https://multimedia.bbycastatic.ca/multimedia/products/250x250/192/19296/19296476.jpg","114.99","0","0","Expédition disponible"
"Console de jeu tactile de 7 po ROG Xbox Ally X d'ASUS - Noir (Z2 Extreme d'AMD/RAM 24 Go/SSD 1 To/Windows 11) - Partenaire de détail exclusif","https://www.bestbuy.ca/fr-ca/produit/console-de-jeu-tactile-de-7-po-rog-xbox-ally-x-d-asus-noir-z2-extreme-d-amd-ram-24-go-ssd-1-to-windows-11-partenaire-de-detail-exclusif/19438479","https://multimedia.bbycastatic.ca/multimedia/products/250x250/194/19438/19438479.jpg","1300.59","3.5","16","Expédition disponible"
"Madden NFL 26 (PS5)","https://www.bestbuy.ca/fr-ca/produit/madden-nfl-26-ps5/19305165","https://multimedia.bbycastatic.ca/multimedia/products/250x250/193/19305/19305165.jpg","59.99","5","2","Expédition disponible"
"Donkey Kong Bananza (Switch 2)","https://www.bestbuy.ca/fr-ca/produit/donkey-kong-bananza-switch-2/19296475","https://multimedia.bbycastatic.ca/multimedia/products/250x250/192/19296/19296475.jpg","99.99","4.63","16","Expédition disponible"
"NHL 26 (PS5)","https://www.bestbuy.ca/fr-ca/produit/nhl-26-ps5/19411041","https://multimedia.bbycastatic.ca/multimedia/products/250x250/194/19411/19411041.jpg","89.99","4.2","10","Expédition disponible"
"Metal Gear Solid Delta Snake Eater: Édition Tactical (PS5)","https://www.bestbuy.ca/fr-ca/produit/metal-gear-solid-delta-snake-eater-edition-tactical-ps5/17974657","https://multimedia.bbycastatic.ca/multimedia/products/250x250/179/17974/17974657.jpg","89.99","4.75","154","Expédition disponible"
"Ghost of Yōtei (PS5)","https://www.bestbuy.ca/fr-ca/produit/ghost-of-yotei-ps5/19307926","https://multimedia.bbycastatic.ca/multimedia/products/250x250/193/19307/19307926.jpg","89.99","0","0","Expédition disponible"
"Manette de jeu Backbone Pro pour Android et iPhone 15/16","https://www.bestbuy.ca/fr-ca/produit/manette-de-jeu-backbone-pro-pour-android-et-iphone-15-16/19344803","https://multimedia.bbycastatic.ca/multimedia/products/250x250/193/19344/19344803.jpg","240.19","4.62","85","Expédition disponible"
"Gears of War Reloaded (PS5)","https://www.bestbuy.ca/fr-ca/produit/gears-of-war-reloaded-ps5/19355018","https://multimedia.bbycastatic.ca/multimedia/products/250x250/193/19355/19355018.jpg","49.99","5","2","Expédition disponible"
"College Football 26 (PS5)","https://www.bestbuy.ca/fr-ca/produit/college-football-26-ps5/19305167","https://multimedia.bbycastatic.ca/multimedia/products/250x250/193/19305/19305167.jpg","59.99","5","1","Expédition disponible"
"Death Stranding 2: On the Beach édition de collection (PS5)","https://www.bestbuy.ca/fr-ca/produit/death-stranding-2-on-the-beach-edition-de-collection-ps5/19215837","https://multimedia.bbycastatic.ca/multimedia/products/250x250/192/19215/19215837.jpg","299.99","5","1","Expédition disponible"
"Ensemble PlayStation 5 édition numérique avec NBA 2K26","https://www.bestbuy.ca/fr-ca/produit/19416168","https://multimedia.bbycastatic.ca/multimedia/products/250x250/194/19416/19416168.jpg","582.49","5","1","Stocks épuisés dans les magasins à proximité"
"Lecteur à distance PlayStation Portal (PS5) - Blanc","https://www.bestbuy.ca/fr-ca/produit/17340795","https://multimedia.bbycastatic.ca/multimedia/products/250x250/173/17340/17340795.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/173/17340/17340795.jpg,https://multimedia.bbycastatic.ca/multimedia/products/150x150/189/18931/18931223.jpg","270.19","4.48","4473","Expédition disponible"
